name,lat,lon,country,elevation
Red Fort,28.6562,77.241,India,217.0
India Gate,28.6129,77.1892,India,238.0
Rajpath,28.6061,77.1954,India,225.0
Talkatora Stadium,28.5769,77.2324,India,213.0
Delhi Zoo,28.6163,77.2546,India,207.0
