name,lat,lon,country,elevation
Siddhivinayak Temple High Ground,19.0176,72.8305,India,11.0
NESCO Goregaon Relief Center,19.1517,72.8491,India,11.0
VJTI College Sports Ground,19.0173,72.8562,India,11.0
Malabar Hill Community Hall,18.9718,72.7956,India,0.0
Borivali National Park Main Gate,19.2168,72.8625,India,22.0
